iter	Passed	Remaining
0	291	290816
1	293	146232
2	295	98049
3	297	73972
4	300	59726
5	302	50141
6	305	43339
7	307	38141
8	309	34074
9	311	30818
10	313	28153
11	314	25933
12	341	25963
13	365	25723
14	369	24262
15	371	22850
16	373	21603
17	375	20502
18	377	19500
19	379	18599
20	381	17802
21	383	17065
22	385	16387
23	387	15765
24	389	15194
25	422	15815
26	424	15304
27	426	14808
28	428	14341
29	433	14014
30	436	13639
31	438	13261
32	443	13003
33	446	12684
34	448	12361
35	450	12054
36	452	11770
37	456	11561
38	459	11322
39	471	11319
40	473	11083
41	475	10853
42	477	10630
43	479	10418
44	481	10214
45	483	10018
46	488	9905
47	490	9725
48	492	9554
49	495	9411
50	498	9285
51	506	9235
52	508	9092
53	510	8945
54	512	8806
55	515	8686
56	517	8568
57	519	8442
58	521	8320
59	523	8200
60	525	8085
61	527	7974
62	528	7866
63	531	7768
64	538	7740
65	539	7637
66	541	7537
67	542	7429
68	543	7331
69	544	7236
70	546	7145
71	548	7067
72	549	6979
73	550	6893
74	552	6810
75	553	6730
76	554	6652
77	556	6575
78	557	6500
79	558	6427
80	560	6355
81	561	6287
82	563	6222
83	564	6155
84	565	6086
85	566	6024
86	567	5958
87	569	5897
88	570	5841
89	572	5783
90	573	5727
91	574	5671
92	575	5616
93	577	5565
94	578	5513
95	580	5463
96	581	5417
97	583	5369
98	585	5325
99	586	5279
100	588	5234
101	588	5184
102	590	5140
103	592	5105
104	594	5063
105	595	5022
106	596	4981
107	598	4940
108	599	4902
109	601	4869
110	603	4834
111	605	4801
112	607	4768
113	608	4732
114	610	4696
115	611	4658
116	612	4625
117	614	4591
118	616	4560
119	617	4528
120	619	4500
121	621	4473
122	622	4438
123	623	4407
124	625	4377
125	626	4347
126	628	4317
127	629	4288
128	631	4262
129	632	4235
130	635	4215
131	636	4187
132	638	4162
133	640	4136
134	641	4109
135	642	4082
136	644	4056
137	645	4030
138	646	4006
139	648	3986
140	650	3963
141	651	3939
142	653	3915
143	654	3892
144	656	3868
145	657	3846
146	658	3823
147	660	3801
148	662	3783
149	664	3764
150	665	3743
151	667	3722
152	669	3703
153	670	3683
154	671	3662
155	673	3641
156	674	3620
157	676	3603
158	677	3585
159	679	3565
160	680	3546
161	681	3526
162	683	3507
163	684	3488
164	685	3469
165	687	3452
166	688	3434
167	689	3417
168	691	3401
169	693	3384
170	695	3369
171	696	3351
172	697	3334
173	698	3317
174	700	3300
175	701	3284
176	702	3267
177	704	3252
178	705	3237
179	707	3221
180	707	3203
181	709	3187
182	710	3171
183	711	3155
184	712	3140
185	714	3126
186	715	3111
187	716	3096
188	718	3084
189	720	3073
190	722	3060
191	724	3047
192	725	3034
193	727	3020
194	728	3008
195	730	2995
196	731	2983
197	733	2970
198	735	2959
199	736	2946
200	738	2933
201	739	2921
202	741	2909
203	742	2896
204	744	2885
205	746	2877
206	748	2867
207	751	2860
208	752	2848
209	754	2837
210	755	2826
211	757	2814
212	758	2802
213	759	2790
214	761	2779
215	762	2767
216	763	2756
217	765	2746
218	767	2736
219	768	2725
220	769	2714
221	771	2702
222	772	2692
223	774	2682
224	775	2672
225	777	2662
226	779	2653
227	780	2642
228	781	2631
229	782	2621
230	784	2610
231	785	2600
232	786	2590
233	788	2580
234	789	2570
235	790	2559
236	792	2549
237	793	2540
238	794	2531
239	796	2520
240	797	2510
241	798	2501
242	799	2491
243	801	2481
244	802	2472
245	803	2463
246	804	2453
247	806	2444
248	807	2435
249	809	2427
250	810	2418
251	811	2409
252	813	2400
253	814	2392
254	815	2383
255	817	2375
256	818	2367
257	820	2358
258	821	2349
259	822	2341
260	824	2333
261	825	2325
262	826	2316
263	828	2308
264	829	2300
265	830	2292
266	832	2284
267	833	2276
268	835	2269
269	836	2262
270	838	2255
271	839	2247
272	840	2239
273	842	2231
274	844	2225
275	845	2218
276	846	2210
277	848	2204
278	850	2197
279	854	2196
280	855	2189
281	859	2187
282	860	2180
283	862	2173
284	864	2168
285	866	2163
286	868	2158
287	870	2152
288	872	2146
289	874	2140
290	875	2134
291	877	2128
292	879	2121
293	882	2118
294	883	2111
295	884	2104
296	886	2098
297	887	2091
298	889	2084
299	890	2077
300	892	2071
301	893	2065
302	896	2062
303	898	2057
304	900	2051
305	901	2044
306	903	2039
307	905	2033
308	906	2026
309	908	2021
310	911	2019
311	913	2013
312	914	2007
313	916	2002
314	917	1996
315	919	1990
316	921	1985
317	923	1979
318	924	1973
319	929	1975
320	931	1971
321	933	1965
322	935	1960
323	938	1959
324	942	1957
325	944	1952
326	946	1947
327	948	1942
328	949	1937
329	951	1932
330	953	1926
331	958	1929
332	960	1924
333	962	1919
334	964	1914
335	965	1908
336	967	1903
337	969	1897
338	972	1895
339	974	1891
340	975	1885
341	978	1883
342	980	1877
343	981	1872
344	983	1866
345	984	1861
346	987	1857
347	988	1852
348	990	1846
349	991	1840
350	992	1835
351	993	1829
352	994	1823
353	996	1818
354	997	1812
355	998	1807
356	1000	1802
357	1002	1798
358	1004	1793
359	1005	1787
360	1006	1782
361	1008	1776
362	1009	1771
363	1010	1766
364	1012	1760
365	1013	1755
366	1014	1750
367	1016	1746
368	1018	1740
369	1019	1735
370	1020	1730
371	1021	1725
372	1023	1720
373	1024	1714
374	1025	1709
375	1027	1704
376	1028	1699
377	1031	1696
378	1032	1691
379	1033	1686
380	1035	1681
381	1036	1676
382	1037	1671
383	1038	1666
384	1040	1661
385	1041	1657
386	1042	1652
387	1045	1649
388	1047	1645
389	1048	1640
390	1050	1635
391	1051	1630
392	1052	1625
393	1053	1620
394	1055	1616
395	1056	1611
396	1057	1606
397	1060	1604
398	1062	1600
399	1063	1595
400	1065	1591
401	1066	1586
402	1068	1582
403	1069	1577
404	1070	1573
405	1072	1568
406	1073	1564
407	1075	1560
408	1076	1555
409	1077	1551
410	1079	1546
411	1080	1541
412	1081	1537
413	1082	1532
414	1084	1528
415	1085	1523
416	1088	1521
417	1090	1518
418	1092	1514
419	1094	1510
420	1095	1506
421	1096	1502
422	1098	1497
423	1099	1493
424	1100	1489
425	1103	1486
426	1104	1482
427	1106	1478
428	1107	1473
429	1108	1469
430	1109	1465
431	1111	1461
432	1112	1456
433	1113	1452
434	1115	1448
435	1118	1446
436	1119	1442
437	1121	1438
438	1122	1434
439	1123	1430
440	1125	1426
441	1126	1422
442	1128	1418
443	1129	1414
444	1132	1412
445	1133	1408
446	1135	1404
447	1136	1400
448	1137	1396
449	1139	1392
450	1140	1388
451	1141	1384
452	1143	1380
453	1144	1376
454	1146	1372
455	1148	1369
456	1149	1365
457	1150	1361
458	1152	1357
459	1153	1353
460	1154	1350
461	1155	1346
462	1157	1342
463	1158	1338
464	1159	1334
465	1162	1331
466	1163	1328
467	1164	1324
468	1166	1320
469	1167	1316
470	1168	1312
471	1170	1308
472	1171	1305
473	1172	1301
474	1173	1297
475	1177	1296
476	1179	1293
477	1180	1289
478	1182	1285
479	1183	1282
480	1184	1278
481	1186	1274
482	1187	1270
483	1188	1267
484	1191	1264
485	1192	1261
486	1194	1257
487	1195	1254
488	1196	1250
489	1198	1247
490	1199	1243
491	1200	1239
492	1202	1236
493	1206	1235
494	1207	1232
495	1209	1228
496	1211	1226
497	1212	1222
498	1214	1219
499	1215	1215
500	1216	1211
501	1218	1208
502	1222	1208
503	1224	1205
504	1225	1201
505	1227	1197
506	1228	1194
507	1229	1190
508	1231	1187
509	1232	1184
510	1233	1180
511	1237	1179
512	1238	1175
513	1239	1172
514	1241	1168
515	1242	1165
516	1243	1162
517	1245	1158
518	1246	1155
519	1247	1151
520	1251	1150
521	1252	1147
522	1254	1143
523	1255	1140
524	1256	1137
525	1258	1133
526	1259	1130
527	1260	1126
528	1261	1123
529	1263	1120
530	1265	1118
531	1267	1114
532	1268	1111
533	1270	1108
534	1271	1104
535	1272	1101
536	1273	1098
537	1275	1095
538	1276	1091
539	1277	1088
540	1280	1086
541	1281	1083
542	1283	1079
543	1284	1076
544	1285	1073
545	1286	1070
546	1288	1066
547	1289	1063
548	1290	1060
549	1292	1057
550	1294	1055
551	1296	1052
552	1297	1048
553	1298	1045
554	1300	1042
555	1301	1039
556	1302	1036
557	1304	1032
558	1305	1029
559	1307	1027
560	1310	1025
561	1311	1022
562	1312	1019
563	1314	1016
564	1315	1012
565	1317	1009
566	1318	1006
567	1319	1003
568	1320	1000
569	1322	997
570	1324	995
571	1326	992
572	1327	989
573	1328	986
574	1330	983
575	1331	980
576	1332	977
577	1334	974
578	1335	971
579	1336	968
580	1339	965
581	1340	962
582	1341	959
583	1343	956
584	1344	953
585	1345	950
586	1347	947
587	1348	944
588	1349	941
589	1351	938
590	1353	936
591	1355	933
592	1356	930
593	1357	927
594	1358	924
595	1360	921
596	1361	918
597	1362	916
598	1364	913
599	1365	910
600	1368	908
601	1370	906
602	1372	903
603	1373	900
604	1375	897
605	1376	894
606	1377	892
607	1379	889
608	1380	886
609	1382	884
610	1384	881
611	1385	878
612	1386	875
613	1388	872
614	1389	869
615	1390	866
616	1392	864
617	1393	861
618	1394	858
619	1397	856
620	1398	853
621	1400	850
622	1401	848
623	1403	845
624	1404	842
625	1405	839
626	1406	836
627	1408	834
628	1409	831
629	1411	829
630	1413	826
631	1414	823
632	1416	820
633	1417	818
634	1418	815
635	1419	812
636	1421	810
637	1423	807
638	1424	804
639	1426	802
640	1428	799
641	1430	797
642	1431	794
643	1432	791
644	1433	789
645	1435	786
646	1436	783
647	1438	781
648	1440	779
649	1442	776
650	1443	773
651	1445	771
652	1446	768
653	1448	766
654	1449	763
655	1450	760
656	1452	758
657	1456	757
658	1459	755
659	1462	753
660	1464	751
661	1466	748
662	1468	746
663	1471	744
664	1473	742
665	1474	739
666	1476	737
667	1477	734
668	1479	731
669	1481	729
670	1482	726
671	1483	724
672	1486	722
673	1488	719
674	1490	717
675	1491	714
676	1492	712
677	1494	709
678	1495	707
679	1497	704
680	1501	703
681	1502	700
682	1503	698
683	1505	695
684	1506	692
685	1508	690
686	1509	687
687	1510	685
688	1512	682
689	1516	681
690	1518	678
691	1519	676
692	1521	673
693	1522	671
694	1524	668
695	1525	666
696	1526	663
697	1530	662
698	1531	659
699	1533	657
700	1536	655
701	1537	652
702	1539	650
703	1541	648
704	1544	646
705	1545	643
706	1547	641
707	1549	638
708	1550	636
709	1553	634
710	1554	631
711	1556	629
712	1557	627
713	1559	624
714	1561	622
715	1563	620
716	1565	617
717	1566	615
718	1568	612
719	1569	610
720	1573	608
721	1575	606
722	1576	604
723	1577	601
724	1579	599
725	1580	596
726	1581	593
727	1583	591
728	1584	588
729	1585	586
730	1588	584
731	1590	582
732	1591	579
733	1593	577
734	1594	574
735	1595	572
736	1597	569
737	1598	567
738	1599	565
739	1601	562
740	1602	560
741	1604	557
742	1605	555
743	1606	552
744	1608	550
745	1609	548
746	1611	545
747	1612	543
748	1613	540
749	1614	538
750	1616	535
751	1617	533
752	1619	531
753	1620	528
754	1621	526
755	1623	523
756	1624	521
757	1626	519
758	1628	516
759	1629	514
760	1631	512
761	1633	510
762	1634	507
763	1635	505
764	1637	502
765	1638	500
766	1640	498
767	1641	495
768	1643	493
769	1645	491
770	1647	489
771	1648	486
772	1650	484
773	1651	482
774	1653	479
775	1654	477
776	1656	475
777	1657	472
778	1658	470
779	1661	468
780	1662	466
781	1664	463
782	1665	461
783	1666	459
784	1667	456
785	1669	454
786	1670	452
787	1671	449
788	1674	447
789	1676	445
790	1677	443
791	1678	440
792	1680	438
793	1681	436
794	1682	433
795	1683	431
796	1685	429
797	1686	426
798	1687	424
799	1689	422
800	1690	420
801	1691	417
802	1693	415
803	1694	413
804	1696	410
805	1697	408
806	1698	406
807	1699	403
808	1701	401
809	1702	399
810	1704	397
811	1706	395
812	1707	392
813	1709	390
814	1710	388
815	1711	385
816	1713	383
817	1714	381
818	1715	379
819	1717	376
820	1718	374
821	1719	372
822	1721	370
823	1722	367
824	1723	365
825	1724	363
826	1726	361
827	1727	358
828	1729	356
829	1731	354
830	1733	352
831	1734	350
832	1736	348
833	1738	345
834	1739	343
835	1741	341
836	1743	339
837	1745	337
838	1747	335
839	1748	333
840	1750	330
841	1751	328
842	1753	326
843	1755	324
844	1757	322
845	1759	320
846	1762	318
847	1764	316
848	1766	314
849	1767	311
850	1769	309
851	1771	307
852	1772	305
853	1774	303
854	1776	301
855	1777	299
856	1779	296
857	1780	294
858	1782	292
859	1783	290
860	1785	288
861	1786	285
862	1787	283
863	1789	281
864	1791	279
865	1792	277
866	1794	275
867	1795	273
868	1797	270
869	1800	269
870	1802	266
871	1803	264
872	1805	262
873	1807	260
874	1808	258
875	1810	256
876	1812	254
877	1813	252
878	1815	249
879	1816	247
880	1819	245
881	1821	243
882	1823	241
883	1825	239
884	1826	237
885	1828	235
886	1830	233
887	1831	231
888	1833	228
889	1834	226
890	1836	224
891	1838	222
892	1839	220
893	1841	218
894	1843	216
895	1844	214
896	1846	211
897	1847	209
898	1849	207
899	1851	205
900	1852	203
901	1853	201
902	1855	199
903	1856	197
904	1857	194
905	1858	192
906	1860	190
907	1861	188
908	1862	186
909	1864	184
910	1865	182
911	1867	180
912	1869	178
913	1870	176
914	1871	173
915	1873	171
916	1874	169
917	1875	167
918	1877	165
919	1878	163
920	1880	161
921	1881	159
922	1882	157
923	1884	154
924	1885	152
925	1886	150
926	1887	148
927	1889	146
928	1890	144
929	1891	142
930	1893	140
931	1894	138
932	1895	136
933	1897	134
934	1898	131
935	1899	129
936	1900	127
937	1902	125
938	1903	123
939	1904	121
940	1906	119
941	1907	117
942	1909	115
943	1910	113
944	1911	111
945	1913	109
946	1914	107
947	1915	105
948	1916	103
949	1918	100
950	1919	98
951	1921	96
952	1922	94
953	1924	92
954	1926	90
955	1927	88
956	1928	86
957	1930	84
958	1931	82
959	1932	80
960	1933	78
961	1935	76
962	1936	74
963	1939	72
964	1942	70
965	1943	68
966	1945	66
967	1946	64
968	1947	62
969	1949	60
970	1950	58
971	1951	56
972	1953	54
973	1955	52
974	1957	50
975	1958	48
976	1959	46
977	1960	44
978	1962	42
979	1963	40
980	1964	38
981	1966	36
982	1968	34
983	1970	32
984	1971	30
985	1972	28
986	1974	26
987	1975	23
988	1976	21
989	1977	19
990	1979	17
991	1980	15
992	1981	13
993	1983	11
994	1984	9
995	1986	7
996	1987	5
997	1988	3
998	1990	1
999	1991	0
