iter	Passed	Remaining
0	1	1832
1	3	1640
2	4	1566
3	6	1525
4	7	1509
5	9	1491
6	10	1527
7	13	1733
8	16	1789
9	18	1845
10	20	1852
11	21	1807
12	23	1763
13	24	1728
14	27	1831
15	29	1833
16	31	1823
17	33	1802
18	34	1771
19	35	1744
20	36	1723
21	38	1701
22	39	1680
23	43	1753
24	44	1749
25	46	1729
26	48	1752
27	50	1753
28	52	1754
29	53	1744
30	55	1740
31	59	1812
32	61	1797
33	62	1783
34	64	1770
35	66	1787
36	68	1772
37	69	1757
38	72	1788
39	74	1786
40	75	1772
41	77	1759
42	78	1746
43	79	1734
44	81	1721
45	82	1708
46	83	1697
47	85	1691
48	88	1714
49	89	1708
50	91	1697
51	92	1688
52	93	1678
53	95	1668
54	96	1658
55	97	1649
56	99	1641
57	102	1662
58	104	1662
59	105	1653
60	107	1647
61	108	1638
62	109	1630
63	110	1621
64	112	1613
65	113	1607
66	117	1629
67	118	1628
68	120	1622
69	121	1614
70	122	1607
71	124	1599
72	125	1592
73	126	1585
74	128	1578
75	129	1577
76	132	1591
77	135	1600
78	137	1599
79	138	1593
80	139	1586
81	141	1579
82	141	1566
83	143	1560
84	146	1573
85	148	1574
86	149	1570
87	151	1566
88	152	1561
89	154	1561
90	157	1568
91	160	1582
92	162	1588
93	165	1595
94	167	1594
95	168	1591
96	170	1588
97	172	1584
98	175	1595
99	177	1598
100	179	1596
101	181	1596
102	183	1594
103	184	1593
104	186	1588
105	187	1584
106	191	1596
107	193	1597
108	194	1591
109	196	1587
110	197	1584
111	199	1579
112	200	1573
113	201	1567
114	203	1567
115	206	1575
116	207	1568
117	209	1563
118	210	1558
119	211	1553
120	213	1548
121	214	1541
122	215	1536
123	216	1531
124	220	1541
125	222	1540
126	223	1533
127	224	1529
128	225	1524
129	227	1519
130	228	1514
131	229	1510
132	231	1507
133	234	1516
134	236	1515
135	237	1511
136	239	1507
137	240	1504
138	242	1503
139	244	1499
140	245	1495
141	246	1488
142	249	1494
143	251	1494
144	252	1490
145	254	1486
146	255	1482
147	256	1478
148	258	1474
149	259	1470
150	260	1466
151	264	1473
152	266	1472
153	267	1468
154	268	1464
155	270	1461
156	271	1457
157	272	1453
158	274	1449
159	275	1446
160	276	1442
161	279	1445
162	280	1441
163	282	1437
164	284	1437
165	285	1435
166	287	1431
167	288	1428
168	289	1424
169	292	1429
170	294	1428
171	296	1425
172	297	1421
173	298	1418
174	300	1414
175	301	1410
176	302	1407
177	304	1404
178	305	1402
179	308	1406
180	310	1404
181	311	1400
182	313	1397
183	314	1393
184	315	1390
185	316	1386
186	318	1383
187	319	1379
188	322	1384
189	324	1384
190	326	1380
191	327	1378
192	329	1376
193	330	1373
194	331	1370
195	333	1368
196	337	1377
197	340	1378
198	341	1376
199	343	1373
200	345	1371
201	346	1368
202	347	1365
203	349	1362
204	352	1366
205	354	1364
206	355	1361
207	356	1358
208	358	1356
209	360	1356
210	362	1354
211	363	1352
212	368	1362
213	370	1361
214	372	1360
215	373	1357
216	375	1354
217	376	1350
218	377	1346
219	378	1343
220	382	1346
221	384	1345
222	385	1342
223	386	1339
224	388	1336
225	389	1333
226	390	1330
227	391	1327
228	393	1324
229	396	1327
230	398	1326
231	400	1324
232	401	1321
233	402	1318
234	403	1315
235	405	1311
236	406	1308
237	407	1305
238	409	1303
239	412	1306
240	414	1304
241	415	1301
242	416	1298
243	418	1295
244	419	1292
245	420	1289
246	422	1286
247	423	1283
248	426	1287
249	429	1288
250	430	1285
251	432	1282
252	433	1280
253	435	1278
254	436	1275
255	437	1272
256	441	1275
257	442	1273
258	444	1271
259	445	1268
260	446	1265
